"country","SugarConsumption_SugarAndSweeteners_AnnualConsPerCapita_Kg_2022","SugarConsumption_TotalAnnualSugarAndSweeteners_1000t_2022","SugarConsumption_SugarAndSweeteners_AnnualConsPerCapita_Kg_2021","SugarConsumption_TotalAnnualSugarAndSweeteners_1000t_2021","SugarConsumption_SugarAndSweeteners_AnnualConsPerCapita_Kg_2020","SugarConsumption_TotalAnnualSugarAndSweeteners_1000t_2020","SugarConsumption_SugarAndSweeteners_AnnualConsPerCapita_Kg_2019","SugarConsumption_TotalAnnualSugarAndSweeteners_1000t_2019","SugarConsumption_SugarRawEquivalent_AnnualConsPerCapita_Kg_2022","SugarConsumption_TotalAnnualSugarRawEquivalent_1000t_2022","SugarConsumption_SugarRawEquivalent_AnnualConsPerCapita_Kg_2021","SugarConsumption_TotalAnnualSugarRawEquivalent_1000t_2021","SugarConsumption_SugarRawEquivalent_AnnualConsPerCapita_Kg_2020","SugarConsumption_TotalAnnualSugarRawEquivalent_1000t_2020","SugarConsumption_SugarRawEquivalent_AnnualConsPerCapita_Kg_2019","SugarConsumption_TotalAnnualSugarRawEquivalent_1000t_2019"
"India",20.01304878562108,28527,19.109744024890396,27025,19.61828577946985,27517,22.78,31507,17.0433977354043,24294,17.31155423561024,24482,17.679057763328625,24797,20.5,28355
"China",9.045173241274785,12891,9.104483889963825,12987,7.914536746814762,11287,8.72,12405,6.5661881306220975,9358,6.5884299374667,9398,5.554270007222444,7921,7.15,10168
"United States",66.46776016443458,22701,65.53955332915885,22294,63.573103618944366,21579,65.49,21894,33.53985254762337,11455,33.2871787183128,11323,32.43615880460529,11010,32.83,10976
"Indonesia",30.366064031617718,8467,27.301830480058392,7556,28.07707002892855,7716,26.22,7068,28.407888649396945,7921,25.589142861272304,7082,26.075723668649818,7166,24.96,6728
"Pakistan",31.788954497519505,7747,27.142367983697877,6500,26.714666258159504,6278,22.08,4931,30.685142859487648,7478,24.73296085652962,5923,25.157232704402517,5912,20.64,4610
"Nigeria",7.846704697715897,1751,9.573100137739157,2092,8.397353221555543,1797,10.24,2083,7.35824620996545,1642,8.891268435768252,1943,7.855287014710555,1681,9.75,1982
"Brazil",38.382166937700305,8072,37.79527559055118,7920,37.611245033810825,7848,41.92,8878,34.56392114347665,7269,34.36411357671201,7201,34.17984194458955,7132,39.19,8300
"Bangladesh",9.965463293680077,1688,10.413995073333373,1746,10.4270646670435,1734,10.13,1677,6.157570032765594,1043,6.52514926129823,1094,6.253833479657001,1040,6.12,1013
"Russia",61.663690067316935,8977,60.492608135165526,8822,4.112836559154478,602,63.02,9185,34.915510372303885,5083,33.44167420938589,4877,34.07778863299424,4988,35.55,5181
"Ethiopia",7.592675301473872,952,8.269266982700039,1010,7.534603676482955,896,6.51,743,7.3932878198175205,927,8.072769549447761,986,7.358011402815386,875,6.33,723
"Mexico",40.47024795316181,5205,41.8572950614189,5343,42.84734106735858,5433,45.27,5663,33.97790270034911,4370,34.3052770117824,4379,34.795227091696304,4412,34.95,4372
"Japan",28.256452103233652,3532,27.705503703880524,3482,27.1089822255651,3424,29.25,3680,17.97628762060193,2247,17.520826868450577,2202,17.251890265626855,2179,18.6,2340
"Egypt",21.84375499476105,2460,23.216200870607533,2576,22.046379728308104,2410,25.24,2665,21.293221332291463,2398,22.49520084357003,2496,21.159035813932217,2313,24.6,2599
"Philippines",24.542838089221156,2797,23.368493647271023,2643,25.95444366128068,2909,26.36,2909,21.147028886314978,2410,20.300439430243763,2296,22.564038507864847,2529,22.95,2533
"DR Congo",3.027432444309892,310,2.9954946550087795,297,3.2503385769350976,312,3.42,308,2.73445511098958,280,2.793777843223677,277,3.125325554745286,300,3.14,282
"Vietnam",32.22288768036341,3212,27.98804468788125,2769,27.753081183370174,2722,21.5,2059,24.588511115993366,2451,25.471243269577734,2520,25.65273778742078,2516,20.2,1934
"Iran",33.555172791267616,3004,31.111688928331194,2752,33.83361794002512,2968,33.25,2879,28.405727166509166,2543,26.42006432613009,2337,27.404318574063474,2404,29.52,2555
"Turkey",28.612944169724955,2491,28.043647035344684,2431,28.109562245837868,2420,31.75,2651,26.86699173544226,2339,26.543986766074916,2301,26.994472173275703,2324,30.57,2552
"Germany",49.67521424443012,4177,47.67190261072367,3990,44.362760631218705,3710,44.03,3661,36.17716105615428,3042,37.46844275369159,3136,35.15539521719218,2940,35.86,2981
"Thailand",51.95489528865147,3727,59.57285440829363,4273,62.29629474536408,4463,63.67,4540,39.84091514219638,2858,40.69580201680532,2919,39.278909570570136,2814,42.53,3033
"United Kingdom",43.37093516653882,2957,37.47665098243208,2536,33.43632473619898,2252,40.14,2680,24.743580529574224,1687,27.93015392618164,1890,24.260637042162138,1634,30.99,2070
"Tanzania",11.141708312857933,721,11.157019531946318,701,10.086464784297261,615,11.53,690,10.53903615723871,682,10.377142275077032,652,9.397633042930618,573,10.93,654
"France",36.135998092864234,2395,35.93937972413689,2375,33.69986935800308,2221,32.59,2098,35.07983113399138,2325,35.04656986993727,2316,32.71360573428844,2156,31.75,2045
"South Africa",35.46099290780142,2212,37.78702038613002,2324,0.21465463720063932,13,39.61,2301,25.47356136098393,1589,27.15332359932751,1670,28.416971586330792,1721,30.05,1745
"Italy",37.08543067573982,2211,34.823721651314095,2080,34.06617617604251,2041,33.9,2025,33.94885196187128,2024,31.89384122391988,1905,31.395628313148446,1881,32.36,1933
"Kenya",22.56117229620755,1224,23.018008538271904,1225,22.195709084920132,1159,22.02,1122,20.773236256393712,1127,21.13898743310685,1125,20.759403492712185,1084,19.71,1004
"Myanmar",25.26192035240193,1358,26.261025603563407,1402,27.029321060424586,1433,27.74,1471,1.9160366688493364,103,2.9033230874125024,155,3.3385832712457444,177,3.12,166
"Colombia",58.93165358470289,3049,55.0126787032949,2816,54.631641319375866,2766,57.7,2896,29.649444604438912,1534,31.99956239914668,1638,31.720323918625322,1606,31.58,1585
"South Korea",50.924540143871,2637,48.988975551801026,2540,45.469884396964815,2358,49.89,2585,28.77419977791725,1490,27.90828646592759,1447,27.478619705544897,1425,28.41,1472
